numCinema,annee,nbEntrees
11592,2019,19806
12454,2019,31740
12562,2019,155968
13423,2019,188613
13686,2019,68288
14114,2019,32221
14445,2019,27972
14693,2019,613992
17082,2019,437310
17303,2019,11145
17326,2019,785467
18701,2019,9380
19941,2019,620831
19945,2019,6200
19984,2019,659381
21571,2019,462714
23262,2019,4234
23491,2019,46949
24753,2019,149128
25032,2019,5979
28113,2019,39095
28264,2019,10702
28661,2019,15005
28732,2019,10431
28991,2019,23106
29373,2019,12615
29741,2019,228152
33751,2019,31751
36602,2019,6463
38592,2019,28415
38931,2019,45458
42011,2019,3876
42075,2019,15673
45876,2019,8511
45877,2019,195279
46862,2019,7261
49522,2019,123926
50033,2019,8109
50833,2019,776350
53122,2019,6126
58735,2019,3208
58773,2019,20733
59033,2019,550188
61132,2019,327818
67734,2019,11067
68212,2019,2689
68561,2019,67870
68562,2019,57900
71942,2019,473892
73099,2019,20543
73371,2019,7788
73582,2019,42705
77351,2019,50735
77733,2019,17608
78505,2019,57045
80391,2019,111572
81311,2019,34777
81414,2019,14892
81541,2019,5456
81545,2019,49978
82392,2019,8739
82603,2019,12339
83071,2019,34968
84734,2019,12045
84774,2019,7791
84781,2019,71699
84782,2019,9721
86103,2019,65252
86353,2019,21486
86860,2019,14212
88111,2019,136408
89105,2019,152692
90191,2019,603674
91492,2019,3974
92441,2019,114671
94743,2019,18406
95044,2019,11714
95076,2019,30109
96184,2019,88654
96641,2019,40029
99031,2019,50525
103201,2019,11077
103561,2019,2557
104164,2019,15897
104181,2019,2447
104642,2019,65167
104661,2019,152959
104851,2019,15015
105375,2019,5202
106181,2019,1545255
107043,2019,4462
108192,2019,4857
108932,2019,343559
109792,2019,7563
113131,2019,6200
114032,2019,399249
118135,2019,543356
119122,2019,6419
119281,2019,552138
125322,2019,14822
126311,2019,26385
127501,2019,41001
127661,2019,15258
131031,2019,77909
133141,2019,9402
133621,2019,429482
136666,2019,7120
137663,2019,1712
138352,2019,13723
138641,2019,176277
138712,2019,79837
138922,2019,24846
139503,2019,96702
144303,2019,31754
144331,2019,19410
145792,2019,67882
146013,2019,16054
146762,2019,70512
147071,2019,137474
147971,2019,50789
148324,2019,8987
149335,2019,67029
149552,2019,47172
152884,2019,31129
155143,2019,40030
157971,2019,18696
158701,2019,22710
162501,2019,5970
162853,2019,13732
163962,2019,60315
164771,2019,11863
166051,2019,72449
168953,2019,27763
174813,2019,7484
175924,2019,397773
177140,2019,380203
177201,2019,55594
181422,2019,30297
182461,2019,3452
183942,2019,55859
185173,2019,389217
185175,2019,272511
185241,2019,12496
187852,2019,7406
188041,2019,28667
188933,2019,25259
189741,2019,5721
193185,2019,93951
193731,2019,2787
194671,2019,9603
198581,2019,34905
201041,2019,106476
202162,2019,30088
202292,2019,28059
202370,2019,16880
203343,2019,53114
203672,2019,62088
204451,2019,200771
204507,2019,32155
204891,2019,5562
205601,2019,16273
206924,2019,183719
209151,2019,14633
209494,2019,5175
211844,2019,12102
213542,2019,30521
213933,2019,14311
214841,2019,15737
215581,2019,24848
215723,2019,53063
216371,2019,7870
216471,2019,11947
221842,2019,35061
223612,2019,8925
227281,2019,15464
228122,2019,28502
232572,2019,101279
233181,2019,36214
235771,2019,273175
237793,2019,1741858
237821,2019,243471
238032,2019,7642
238163,2019,52467
238886,2019,26530
240661,2019,17283
242852,2019,23101
243552,2019,3094
244491,2019,26937
244700,2019,216925
247550,2019,23167
249791,2019,16966
250412,2019,22618
251251,2019,36188
251922,2019,133741
252212,2019,212268
253164,2019,112126
255072,2019,57810
256983,2019,22125
257302,2019,35979
260602,2019,119756
261273,2019,92817
261730,2019,192299
262461,2019,16542
264442,2019,5644
267391,2019,219607
268841,2019,7976
269141,2019,17780
269222,2019,15535
270633,2019,137487
272392,2019,346982
272701,2019,22064
273071,2019,11678
273182,2019,38134
273565,2019,2783
275334,2019,114561
275460,2019,13356
277201,2019,15306
277721,2019,2752
277851,2019,26414
277893,2019,15945
277940,2019,61455
278231,2019,178103
279192,2019,270571
281723,2019,9142
282842,2019,1191
282860,2019,34252
284111,2019,359848
284490,2019,579921
284662,2019,7725
284747,2019,513406
285872,2019,177351
286831,2019,84033
288291,2019,3540
288922,2019,11168
289783,2019,7683
290022,2019,221527
290032,2019,37138
290063,2019,358583
290191,2019,215346
290388,2019,35862
291014,2019,568862
291027,2019,13589
291114,2019,49435
292341,2019,42324
296921,2019,65724
298142,2019,28062
301633,2019,74093
302485,2019,27321
303122,2019,75672
303281,2019,22157
303803,2019,231578
305101,2019,14348
307502,2019,45829
312981,2019,19515
315411,2019,29721
317394,2019,36895
317613,2019,14574
317831,2019,16170
318612,2019,4381
320333,2019,6655
321594,2019,25132
324021,2019,26379
324212,2019,8934
329941,2019,13610
330431,2019,10396
331964,2019,400016
335751,2019,11189
336023,2019,8743
336432,2019,95231
336801,2019,12206
337051,2019,20652
337784,2019,224167
338335,2019,653253
338461,2019,5347
339713,2019,44079
339911,2019,4565
341652,2019,102237
343010,2019,115127
343491,2019,400273
343762,2019,8339
345631,2019,9726
347302,2019,99657
348311,2019,22025
350169,2019,6151
350641,2019,29925
351441,2019,49165
353252,2019,6535
353531,2019,77709
356024,2019,2224
357904,2019,14880
358333,2019,21522
359462,2019,13043
359622,2019,361845
359772,2019,8080
362414,2019,18682
364121,2019,125111
366992,2019,4930
367871,2019,32347
368723,2019,334363
369792,2019,3248
370251,2019,19682
374082,2019,97724
374431,2019,2041
381152,2019,11197
381240,2019,112064
382423,2019,242715
382660,2019,5924
383599,2019,67985
384051,2019,44939
385823,2019,10727
386264,2019,42186
387142,2019,11975
388971,2019,59481
393253,2019,5465
393312,2019,24075
394522,2019,8020
395671,2019,75510
395720,2019,12328
395872,2019,13729
396151,2019,438992
396502,2019,5173
399341,2019,475402
399681,2019,16827
