nomProprietaire
FAMILLES RURALES FEDERATION DEPARTEMENTALE DE VENDEE
UNION REG FEDERATIONS OEUVRES LAIQUES AUVERGNE RHONE ALPES
ASSOCIATION CINEMATOGRAPHIQUE CHARBONNIERES LES BAINS
ASSOCIATION AU FIL DU TEMPS
CINEMA DE CHARMOILLE
ASSOCIATION D'EDUCATION POULAIRE CINEMA
EMERAUDE CINEMAS
SCENI QUA NON
CINEMOVIDA
CINEMA THEATRE JEAN DE LA FONTAINE
SOCIETE DES CINEMAS DU CHABLAIS
ASSOCIATION CHATENAY ACTION CULTURE
ASSOCIATION CULTURELLE DU VENDELAIS
VILLE DE CHATILLON SUR CHALARONNE
ECRANPIC
COMMUNE DE CLAMART
EDEN CINEMA SARL
RAYLUMOND
QUATRE CLUBS SARL
COMMUNE DE COLOMIERS
SCENE NATIONALE DE SENART
PATHE CONFLANS
ASSOCIATION CULTURELLE EMILE ROUX
GAUMONT
ASSOCIATION RETAISE DE DEVELOPPEMENT CULTUREL
CINE RURAL 60
ZARATHUSHTRA
KALEIDOSCOPE
ESPACE PONTHIEU MARQUENTERRE
AMBIANCE COMPIEGNOISE
CINE PLAN
MAISON DES JEUNES ET DE LA CULTURE DU MONT MESLY
COMMUNE DE DECIZE
HENRY GERARD
CINE ESPACE EVASION
DARCY PALACE
LIGUE DE L' ENSEIGNEMENT DE NORMANDIE
CENTRE SOCIAL CULTUREL DOMONTOIS
RD DIFFUSION
ASSOCIATION FOYER RURAL DE DOUVRES
COMMUNE DE DRANCY
SOCIETE NOUVELLE DES CINEMAS DE DREUX
CINE GARRIGUES
SEM PALACE EPINAL
ESPACE CINEMA
VEO CINEMAS
OMNICOM
ESPACE LOISIRS
ASSOCIATION EYMOUTIERS CINE VIDEO
COMITE EYSINAIS D'ACTION CULTURELLE
CINEMA ELLE
ASSOCIATION MAISON POUR TOUS
LA FERTE MILON ANIMATIONS CULTURE ET LOISIRS
SOCIETE D'EXPLOITATION DU CINEMA LE MAJESTIC
CINE BLEU FOYER RURAL
L ERMITAGE
MULTIPLEX
ASSOCIATION LE CINEMA DE GAGNY
CINE QUATRE VINGT UN
MIREILLE LACAN ET CIE
LE PALACE
CINESCOP
VILLE DE LIART
GARDANNE ACTION CINEMA
CASINO DE GERARDMER
BAUCINE
VILLE DE GEX
COMMUNE DE GIVET
VILLE DE GONFREVILLE L' ORCHER
COMMUNE DE GRAMAT
REGIE PERSONNALISEE CINEMA LE VARLIN
VILLE DE GRASSE
L ETOILE
COMMUNAUTE DE COMMUNES DU VAL DE GRAY
PATHE GRENOBLE CHAVANT
BERGER BOTERF HELENE
ASSOCIATION L' ETENDARD
ASSOCIATION LES JONGLEURS
CINEMA ALLIANCE
COMMUNE DE HARNES
GAUMONT LE HAVRE
EXPLOITATION CINEMATOGRAPHIQUE LECHANTEUR PERE ET FILS
QUEAU LUDOVIC CLAUDE
SPECTA
CULTURE ET CINEMA
CINE SAUSSET
CINEMA LE MODERN
SOCIETE D EXPLOITATION DU PALAIS DES ARTS ET CONGRES D ISSY LES
PATHE IVRY
ASSOC CINEMA LE BEAUMANOIR
ASSOCIATION LA STRADA
ASSOCIATION PENTHIEVRE OMNISPORTS
LE ROHAN
MERITAN THIERRY PATRICK GEORGES
LES CINEMAS DE SAINT RAPHAEL (EX LIDO RIALTO CINEMA ST RAPHAEL)
ASSOCIATION CULTURELLE DE LILLEBONNE
SOCIETE NORMANDE D EXPLOITATION INDUSTRIELLE ET COMMERCIALE
CS MULTIMEDIA
BESSAC RAYMOND ANDRE
FOURNIER CHRISTOPHE CINEMA
COMMUNAUTE DE COMMUNES DU PAYS DE LURE
LE CINEMA OPERA
CINEMA NATIONAL POPULAIRE
CINEMA SAINT HONORE
ASSOCIATION THEATRE 71
PATHE LE MANS
CENTRE CULTUREL LE CHAPLIN
VILLE DE MARCOUSSIS
CINEMARSEILLE
CINEMASSY
L'AURORE
FOYER RURAL JEUNES EDUCATION POPULAIRE
SOCIETE DU CINEMA MAJESTIC  MEAUX
CINEMEL
ASSOCIATION MERU CINEMA
COMMUNE DE MERY SUR OISE
CINE L'ARLEQUIN
FEDERATION DES ASSOCIATIONS LAIQUES D' EDUCATION POPULAIRE GERS
LES GARS DE SAINT PHILIBERT
ASSOCIATION CINE LIBERTY
ONZE VINGT QUATORZE OU 11 X 20 + 14
VILLE DE MONTAIGU
SOCIETE GATINAISE DE SPECTACLES
CINEMA DU COLISEE
CINEMA OLYMPIC
ANEMONE MONTELIMAR CINEMA LES SEPT NEFS
CLAP MONTENDRE
LA CANE MONTFORTAISE
ASSOCIATION L'ETOILE
UTOPIA SAINTE BERNADETTE
ASSOCIATION MONTREDONNAISE ART ET CULTURE CINEMATOGRAPHIQUE
COMMUNAUTE D AGGLOMERATION DES DEUX BAIES EN MONTREUILLOIS
ASSOCIATION CINEMA CANTONAL DE MONTRICHARD
VILLE DE MONT SAINT AIGNAN
ABC CINEMA SARL
CINE LIGUE CHAMPAGNE ARDENNE
ASSOCIATION ENTRACTE
CINEZEPHYR MULHOUSE
VILLE DE MUR DE BARREZ
ASSOCIATION SPORTIVE ET CULTURELLE BONNE GARDE
SOCIETE NARBONNAISE DE SPECTACLES
REGAIN
ASSOCIATION POUR LA PROMOTION DU CINEMA EN ALBRET
DEPARTEMENT DES ALPES MARITIMES
LE SEMAPHORE
IMAGE A L'APPUI
UGC
OFFICE DE GESTION D'EQUIPEMENTS CULTURELS DE NOGENT-SUR-SEINE
CINEMAS MIMOSAS
LE CINOCHE
NOUVEAU CINEMA LE PARADISIO
ASSOCIATION CULTURELLE D'OBERNAI - ESPACE ATHIC
B ET R LAHADERNE
CENTRE DEPARTEMENTAL DE PROMOTION DU CINEMA
CERCLE DES LOISIRS CULTURELS DU VAL D ORBEY
VILLE D'ORMESSON SUR MARNE
SYNDICAT INTERCOMMUNAL POUR LA VALORISA DU PATRIMOINE CERDAN
COMMUNE D OYONNAX
ASSOCIATION CINEMA VIDEO PIERRE BRASSEUR
GARLABAN SARL
CINE GATINE
CINEMA SAINT LOUIS
CENTRE DES BORDS DE MARNE
HADDAD PATRICIA EPOUSE BORGESON
CINEMA JEAN EUSTACHE
CIN' ORTHE
LE PRE BOURGES
VILLE DU PLESSIS ROBINSON
CINELAC
ASSOCIATION LES ALLUMES DE LA GRANDE TOILE
ASSOCIATION CINE U
CINEMA CONCORDE
CINEMA OLYMPIA
BOCCA BERNARD ALBERT
ASSOCIATION CINEMAS DES DEUX RIVES
ASSOCIATION CINEMA GRAND ECRAN
UNION FRATERNELLE DE SAINTE MARIE SUR MER
COMMUNE DE PORT VENDRES
DU CINEMA PLEIN MON CARTABLE
COMMUNE DE PRADES
CLUB DE L IMAGE
CINE 46
CINE PAX QUEND
ASSOCIATION IRIS CINEMA
LE CINEMA DU SOLEIL
ASSOCIATION AVANT GARDE DE RENAZE
CINEMA LE RESTERIA
ASSOCIATION CINEMA Z
RIVEMOND
CINE RIVAGE
ASSOCIATION CULTURELLE LOISIRS
CGR CINEMAS
MAISON DES ASSOCIATIONS
CINEMA LE ROYAL
CINE RUEIL
CINEMA CONFLUENCES SABLE SUR SARTHE
ASSOCIATION CULTURE ET LOISIRS DE SABRES
PANORAMIC 21
COMMUNE DE SANTES
ASSOCIATION LE LORRAIN
COMMUNE DE SAVERDUN
LES GEMEAUX SCENE NATIONALE
VEO BASSIN DE THAU
AUDITORIUM DE SEYNOD
MAISON DES JEUNES ET DES LOISIRS DE SIGEAN
CONSALES DIDIER
CINEMA LE VENISE
PEI
COMMUNE DE LA SOUTERRAINE
ASSOCIATION DU CINEMA LE PETIT CASINO
CINE HAINAUT
COMMUNE DE SAINT AMAND MONTROND
CINE PARC
SEVEGNES LILIANE
AGORA CINEMAS
SOCIETE RENNAISE DE DIFFUSION CINEMATOGRAPHIQUE
COMMUNE DE SAINT CIERS SUR GIRONDE
ASSOCIATION LA FRATERNELLE
SOCIETE BRAYTOISE D EXPLOITATION CINEMATOGRAPHIQUE S.B.E.C.
ASSOCIATION DU MONTLUC CINEMA
PANORAMIC
COMMUNAUTE DE COMMUNES DU PAYS FOYEN
COMMUNE DE SAINT GENEST LERPT
ASSOCIATION CULTURELLE D'ANIMATION MARMOTTE
CINECO
CINEMA LUTETIA
GUYOT FREDERIC PAUL ROGER
COMMUNE DE SAINT LEONARD DE NOBLAT
ASSOCIATION FAMILIA CINEMA
CINEMA ROYAL
LE THEATRE
ROYAL CINEMA
ASSOCIATION CULTURE ET CINEMA EN TERNOIS
BRIQUE BERNARD
SAINT PRIEST CINEMA
CIN'ETOILES
CINE LOISIRS AQUITAINE
LANESMOND
SOCIETE DES GRANDS ECRANS DE THILLOIS
ASSOCIATION CINE ESSAI
CINE LEMAN
MAUBIM
LAPORTA MICHEL
BORDEROUGE CINE
ANIMATION DES STUDIO DE TOURS
CINETOURS
ASSOCIATION CINEMA LE LUMIERE
ALLEMANDI DELPHINE
ALMA CENTRE CULTUREL
PATHE VALENCE
ASSOCIATION CINEMA LE CEP
AEP JEAN BECQUE
COMMUNE DE VAUX LE PENIL
MAISON DES JEUNES ET DE LA CULTURE DE VERDUN SUR GARONNE
COMMUNE DE VERNEUIL SUR AVRE
COINTIN ET COMPAGNIE
SOCIETE NOUVELLE DE GESTION CYRANO
ASSOCIATION DU CENTRE DES ARTS ET LOISIRS DU VESINET
MC4  DISTRIBUTION
CINEMA DE LA RENAISSANCE
LES CINEMAS ASSOCIES
COMMUNE DE VOREPPE
ERSTEIN CINEMA
COMMUNE DE WISSEMBOURG
VILLE DE WITTENHEIM
PINNA JEAN DANIEL
LES IMAGES
LES PASSEURS
SOCIETE D ECONOMIE MIXTE DES SAINTES MARIES DE LA MER
ESPACE LUMIERE BALBIGNY
LIGUE DE L ENSEIGNEMENT FEDERATION DEPARTEMENTALE DE L ISERE
LE PARIS
CINEVILLE
LE CAPITOLE
PATHE LA VALETTE
KINEPOLIS IMMO THIONVILLE
FORUM INTERNATIONAL
SOCIETE DES CINEMAS DE TOURS
SOCIETE CADURCIENNE D'EXPLOITATION CINEMATOGRAPHIQUE
STUDIO GALANDE BERUCHET
LES CINQ PARNASSIENS
CARLOTTA CINEMAS
STUDIO 28
LES ECRANS DE PARIS
CINEDEVIL
CINELUX
SARL DES AUTEURS REALISATEURS PRODUCTEURS ARP
MK2 QUAI DE LOIRE
CINE ACHERES PANDORA
CAP CINEMA AGEN
GRAND ECRAN POUR TOUS
CIRCUIT ARTS ET LOISIRS
CINEMAZARIN
MSGCINEMA
ASSOCIATION DE GESTION DE LA SCENE NATIONALE D'ALBI
LES ECRANS D' ALENCON
L'AVANT-SCENE
SA CASINO D'AMELIE LES BAINS
MAISON DE LA CULTURE D AMIENS
GAUMONT PICARDIE
COMMUNE D'ANET
ROUEX
MJC POUR TOUS D'ANNECY NOVEL
CINEMONDE
CENTRE REGIONAL PROMOTION IMAGE LE SENECHAL
ASSOCIATION SAINTE CECILE
CINAEA
SCENE ET ECRAN
ASSOCIATION CINEMA LE STUDIO
ASSOCIATION JEUNESSE LOISIRS ET AVENIR
ATOMIC CINEMA
ASSOCIATION CINEMA LE COLBERT
VIGOUROUX YVES
CINEVOX
CINE SPECTACLES DE BAIN DE BRETAGNE
ASSOCIATION PROMOTION ACTIVITE CULTURELLE AUDIOVISUELLE MARMANDE
ASSOCIATION SAINT LAURENT
SAEM LOCALE GULF STREAM
ASSOCIATION CULTURELLE ARGENTINE
BEAUVAIS CINEMA COMMUNICATION
FLIP BOOK
COMMUNAUTE DE COMMUNES BENFELD ET ENVIRONS
CINOS
ETOILE CINEMAS DEVELOPPEMENT
CINECAP
EST ENSEMBLE
ASSOCIATION CINEBOL
ASSOCIATION DU CINEMA LE FOYER
AMICALE DES ANCIENS ELEVES ECOLE LAIQUE
ASSOCIATION DE L'ABBAYE DE BOURGUEIL
LE CINEMA LA BOBINE
LES FEUX DE LA RAMPE
ASSOCIATION CINEMA LE FIEF CAFE
LIGUE DE L' ENSEIGNEMENT DE BASSE-NORMANDIE
PATHE BRUMATH
BUXEMOND
LE PARADIS
AEP CINEMA LUX
CAGNES CONGRES
CAP CINEMA CAGNES SUR MER
ASSOCIATION LA BELLE EQUIPE
CALUIRE PAROISSES
MJC DE CANNES PICAUD
CANNES CINEMA
CAP  CINEMA  CARCASSONNE
ASSOCIATION CONTRECHAMP
ASSOCIATION BEARN ADOUR TOURISME ET LOISIRS
SOCIETE D'EXPLOITATION CINEMATOGRAPHIQUE
SOCIETE D' EXPLOITATION DES CASINOS PYREEENS
VILLE DE LA CELLE SAINT CLOUD
ASSOCIATION CINEMA DU BOCAGE
SECIM
CINEMA RITZ SARL
CHAMONIX SPECTACLES
SOCIETE DES CINEMAS DE COURCHEVEL
CINE FRERES
FEDERATION ESPERANCE CHARTRES DE BRETAGNE
RENON IRENE EPOUSE VERGNAUD
BENTABET HOCINE
COMMUNAUTE DE COMMUNES BRIANCE-COMBADE
OFFICE MUNICIPAL DE LA CULTURE DE CHATEAUNEUF
ASSOCIATION CENTRE CULTUREL DE CHATEAU RENAULT
MJC LES 400 COUPS
ALLIANCE BOURGUIGNONNE CINEMATOGRAPHIQUE
LES ECRANS DE CHAUMONT
REGIE CULTURELLE ATRIUM DE CHAVILLE
ABC49 LES AMIS DU BON CINEMA
TEXIER PASCAL
COMMUNE DE CLAYES SOUS BOIS
ASSOCIATION OFFICE MUNICIPAL D'ANIMATION
CENTRE CULTUREL JEAN VILAR - CINEMA LUX
ASSOCIATION CULTURE ET RENCONTRES
SOCIETE DU CINEMA MAJESTIC
COMMUNE DE LA CRECHE
OFFICE MUNICIPAL CULTUREL DE CREIL
ASSOCIATION CULTURE ET LOISIRS EDEN CINEMA
CINE DAMGAN
ASSOCIATION  DES FAMILLES DU  CANTON DE DAMPIERRE SUR SALON
LE CLUB
OFFICE DU TOURISME ET DE LA CULTURE DE DESVRES
CINE DIEPPE
ENGELS WILLIAM
CINE DOL
ASSOCIATION GESTION LOCAUX SOCIAUX
OFFICE DU TOURISME D'EAUZE
VILLE D'ECULLY
CENTRE CULTUREL ET SPORTIF EGLETONNAIS
CINEMAS G LAMIC
CINEMA PALACE
VILLERAY
COMMUNE DE ERMONT
ASSOCIATION CATHOLIQUE DES CHEFS DE FAMILLE D ERQUY
ASSOCIATION ETAMPOISE CINE PETIT THEATRE
CINEM AUDE 2000 VILLATGE AL PAIS
CINEMAS VOLTAIRE
ASSOCIATION COMITE DES FETES CINEMA
COMITE MUNICIPAL DES FETES
COMMUNE DE FONTVIEILLE
COMMUNAUTE D AGGLOMERATION ROISSY PAYS DE FRANCE
FORUM DES ARTS
CINEODE
MAISON DE LA CULTURE ET DES LOISIRS DE GERARDMER
COMMUNE DE GIERES
LES VRAIS INSTANTS DE L  IMAGE
ASSOCIATION LES ECRANS
REGIE CULTURELLE OUEST PROVENCE
ECOCINE VERDON
VILLE DE GRESSE EN VERCORS
SARL LE DANTON
CINEMA LE BRETAGNE
SOCIETE DU CINEMA MEGAREX
LES FILMS SEINE OCEAN
OCINE
SARL REGENT CINEMA
CINEMA SAINT CHARLES
ETABLISSEMENT PUBLIC DE COOPERATION CULTURELLE D'ISSOUDUN
CINESSONNE
MAISON DES JEUNES ET DE LA CULTURE DE JOEUF
MARTEAU FLORENCE
VILLE DE JOUY LE MOUTIER
LE CENTRE CULTUREL DES PORTES DE L' ESSONNE
COMMUNE DE LABOUHEYRE
CINEFUTUR AUDIOVISUEL
CINE BONNE NOUVELLE
CINEXPANSION  DU VAL DE LOIRE SARL
VILLE DE LANGOGNE
CRINON SERGE RAYMOND
SYNDICAT D'INITIATIVE DE LANS EN VERCORS
FOYER RURAL DE LANSLEVILLARD
AMICAL CINE
MAJESTIC SA
KART OON SARL
SOCIETE DES CINEMAS LONS LE SAUNIER
ASSOCIATION CINE LOROUX
SOCIETE CINEMATOGRAPHIQUE LUCONNAISE
KEUROGHLIAN FRANCOIS YERNOS
PATHE VAISE
ASSOCIATION SALLE SAINT MICHEL
ASSOCIATION ARMORIC CINEMA
ASSOCIATION CINEMAMERS
CINEAMBUL 72
RAYMANTES
ASSOCIU SCOPRE
SOCIETE BASTILLE SAINT ANTOINE
FRICHE LA BELLE DE MAI
TRIANON CINEMA
LA SOCIETE DES AMIS DU CINEMA INDEPENDANT
OFFICE MUNICIPAL DES SPORTS LOISIRS CULTURE ANIMATION
CINEMA CONFLUENCES MENNECY
ASSOCIATION CINEMA L HORLOGE
MONNEZIERES
MODERNE CINEMA
USUREAU PAUL
AEP MONTALBANAISE
ASSOCIATION CINE CITE
ASSOCIATION LES AMIS DE L'ESPACE PIERRE MERY
VILLE DE MONTDIDIER
COMMUNAUTE D'AGGLOMERATION SENART VAL DE SEINE
VILLE DE MONTIGNAC
VILLE DE MONTIGNY LE BRETONNEUX
OFFICE MUNICIPALE DE LA CULTURE (MONTIGNY)
NORD OUEST EXPLOITATION CINEMAS
COMMUNE DE MONTPELLIER
GRAND ECRAN
ASSOCIATION CINEMA LE MAJESTIC
ASSOCIATION CINE LOISIRS
DEFRANCE GILBERT ALPHONSE ALEXANDRE
FEDERATION DEPARTEMENTALE DES MJC DE LA SOMME
SOCIETE D'EXPLOITATION DE SPECTACLES
CINEMAS RIALTO
SARL CINEMA FLORIVAL
SYNDICAT MIXTE POLE RIED BRUN COLLEGE DE FORTSCHWIHR
SOCIETE D ECO MIXTE D AMENAGEMENT GESTION DE LA VILLE DE NANTERR
CLOCHARD GERARD JACQUES
LE CINEMATOGRAPHE CINE-NANTES LOIRE-ATLANTIQUE
P SERIGNAT ET COMPAGNIE
LES MELIES
ASSOCIATION RENCONTRES CULTURELLES
ETABLISSEMENTS IMBERDIS
CINEMA RIALTO
CINEMA CASINO DES VARIETES
ESPACE MAGNAN
EUROPALACES NICE BOULOGNE
PATHE NICE GARE DU SUD
FORUM KINEPOLIS
CAP  CINEMA NIMES
LE MOULIN DU ROC SCENE NATIONALE A NIORT
LA FERME DU BUISSON
ASSOCIATION L'IMAGE BUISSONNIERE
CINE GUIL
NORD OUEST EXPLOITATION CINEMAS IDF
ASSOCIATION CINEMA PANISSIERES
VILLE DE PANTIN
L' ECRAN DES PINS
VILLE DE PAUILLAC
SOCIETE NOUVELLE D  ENTREPRISE DE SPECTACLES
ECRAN 7
CINEMA JEANNE D'ARC
LES CINEMAS PATHE GAUMONT
CENTRE DE COORDINATION DES MONTS DU LYONNAIS
UNION DEPARTEMENTALE MAISON DES JEUNES & DE LA CULTURE COTE D OR
LE TRAIN-THEATRE
SOCIETE GESTION DES ACTIVITES TOURISTIQUES DE PRALOGNAN
COMMUNE DE PRATS DE MOLLO - LA PRESTE
ASSOCIATION LE ROCHONEN
ASSOCIATION LES AMIS RAONNAIS DU THEATRE
CINE LUX
CINEMA ST PAUL
COMMUNE DE RIBERAC
ASSOCIATION LES RICHELAIS DU CARDINAL
URFOL CINE RILLIEUX
ASSOCIATION GESTION SALLE ROBERT DESNOS
COMMUNE DE RIVE DE GIER
LE BISTROT
ASSOCIATION COMITE GESTION CINEMA TRIANON
COMMUNE DE ROQUES
COMMUNE DE ROSNY SOUS BOIS
ASSOCIATION D EDUCATION POPULAIRE DE RUFFEC
BOISRAME ROGER
ASSOCIATION CINEMATOGRAPHIQUE SALISIENNE FRANCOIS TRUFFAUT
GONZALEZ PHILIPPE
ASSOC CENTRE SOCIO CULTUREL SARRE UNION
SERTEC
SAVERNE CULTURES ET LOISIRS
SOCIETE GESTION EXPLOITATION CINEMATOGRAPHIQUES
ASSOCIATION PATRONAGE SAINT RIEUL
ASSOCIATION PROMOTION DES ACTIVITES CINEMATOGRAPHIQUES SENONCHE
SOCIETE SENONAISE D'EXPLOITATION CINEMATOGRAPHIQUE
ETABLISSEMENT PUBLIC DE COOPERATION CULTURELLE SEVRES ESPACE LOI
MICHEL GUY HENRI PIERRE
ODYSSEE
UGC CINE CITE STRASBOURG
SARL 2H
COMMUNE DE SAINT- ASTIER
CENTRE D'ACTION CULTURELLE
ASSOCIATION CINEMA D ART ET D'ESSAI
MAISON DES JEUNES ET DE LA CULTURE DU PAYS DE L'HERBASSE
VEO URFOL SAINT CHAMOND
CINEGIL
SON IMAGE RENCONTRES FIDESIENNES
ASSOCIATION CINE PASSION
COMMUNE DE SAINT GENIS LAVAL
SOCIETE ETABLISSEMENTS JOUSSEAUME
LES ECRANS LUZIENS
AEP COUSINS DE MONTS
KINEPOLIS SAINT JULIEN LES METZ
ETABLISSEMENT PUBLIC DE COOPERATION CULTURELLE VIENNE GLANE
ASSOCIATION IMAGE ET SON DU PLATEAU PICARD
CHENEAUX JEAN PAUL LOUIS
COMMUNE DE SAINT LUNAIRE
ASSOCIATION CINEMA LE VAUBAN
CINEMA PARADISO
SARL DES CINEMAS DE LA ROSIERE
CINEMA ET CULTURE MAURIENNE
ESPACE MARCEL CARNE
QUERCIMAGES
CINEMA CULTURE LOISIRS DE LA PRESQU' ILE
ASSOCIATION CINE PHIL
CINEMA LE REXY
SAPEC
ECRAN SAVINOIS
OFFICE DU TOURISME DE SAINT SEVER CAP DE GASCOGNE
COMMUNE DE SAINTE TULLE
AMIS DU BON CINEMA
VILLE DE LA TALAUDIERE
JOURCIN DIDIER
LES TOILES DU NORD
CINE-TENCE
ROUEFF GERARD
SARL CINE LIMOUSIN QUERCY PERIGORD
ASSOCIATION DU CINEMA LE PARNAL
AEP LA DURANDAL
ORGANISATION MANIFESTATIONS ACTION CULTURELLE CINEMATOGRAPHIQUE
CINE REX
UTOPIA LATIN
SECIC
PATHE AEROVILLE
VEO TULLE
ATMOSPHERE ATMOSPHERE
AEP DE  VALLOIRE
CHAMPALAUNE BRUNO MAURICE GERARD
SAVOY CINEMA
VILLE DE VAUREAL
COMMUNE DE VERNEUIL SUR SEINE
ECRAN VILLAGE
ROXANE
ASSOCIATION VERVINS CINE VIDEO
CENTRE SOCIAL RURAL EMILE MEUNIER
ESPACE ARAGON
ASSOCIATION DIFFUSION EXPLOITATION CINEMATOGRAPHIQUE SUD EST
SAEM DE RENOVATION URBAINE & RESTAURATION IMMOBIL VIRY CHATILLON
CENTRE REGIONAL DE PROMOTION DU CINEMA
ASSOCIATION CINEMA GERARD PHILIPE
COMMUNE DE YSSINGEAUX
ASSOCIATION DU CINEMA DE VAUGNERAY
CINEMA MODERNE
CINE 70
CINE LUMIERE
J F R S A S
CAP CINEMA ALBI
EIDOS
SHELLAC EXPLOITATION
PATHE MASSY
COMMUNE DE SAINT-GENIS-POUILLY
MANUFACTURE A FILMS
SOCIETE CINEMA SAINT ANDRE DES ARTS
CINEMAS RYTMANN SAS
TRIOMPH CINEMA
CINEMA MAC MAHON
ACTION RIVE GAUCHE
CINELOUXOR
PATHE BEAUGRENELLE
ASSOCIATION DU CINEMA DE LA PLAGE
CINEMA L' AIGLON (EX CASINO DE JOINVILLE SARL)
LE CEZANNE
FESTIVE ET CINEMATOGRAPHIQUE ANICHOISE
MJC CENTRE ANNEMASSE
LA COTENTINE
CENTRE CULTUREL MUNICIPAL D'ANTONY
COMMUNE D ARCUEIL
COMMUNAUTE D AGGLOMERATION ARGENTEUIL BEZONS
MONDES ET MULTITUDES
DORMOY SEBIRE AUDREY
MAISON DES JEUNES ET DE LA CULTURE D'AUDUN LE TICHE
ANCELOT PHILIPPE MARCEL
COMMUNE D'AUXONNE
COMMUNE D'AVALLON
FELICITE FILMS
ASSOCIATION GESTION CINEMA FAMILIA
SOCIETE DU CASINO D'AX LES THERMES
CINEMAS REX
COMMUNE DE BAGNEUX
ASSOCIATION BAGNOLETAISE DU CINEMA
SOGECOM - CASINO DE BAGNOLES DE L  ORNE
LES OISEAUX
SOCIETE INSULAIRE CINEMATOGRAPHIQUE LE REGENT
BAZAS CULTURE CINEMA
OFFICE DE TOURISME D'ARECHES BEAUFORT
VILLERMAUX CYRILLE JOSEPH GERARD
COMMUNE DE BEAUMONT SUR OISE
SOBAMA
ASS FORUM DES JEUNES ET DE LA CULTURE
BOULARAND CHRISTIAN MICHEL
SYNDICAT INTERCOMMUNAL DE GESTION DES ACTIVITES DU CENTRE CULTUR
ROYAL CINEMA DE BIARRITZ
MANDEAU MICHEL PIERRE
ASS GESTION MAISON DES ASSOCIATIONS ET CULTURE DE BISCHWILLER
BLAMOND
ASSOCIATION CINEVASION
COMMUNE DE BLONVILLE SUR MER
HELMANI
UTOPIA ST SIMEON
S.E.C.B.A. SA SOCIETE D EXPLOITATION DU CASINO DE BOURBON-L ARCH
COMMUNE DE BRAY DUNES
MAJESTIC BREST
MAISON DES JEUNES ET DE LA CULTURE DU BRIANCONNAI
BRUAYMOND
COMMUNE DE CABESTANY
PATHE CAEN
