numCinema,nationalite,PdM
115891,FR,35.81602736
117051,FR,48.88402027
117341,FR,67.00545831
117921,FR,60.76023392
119305,FR,63.3812064
119331,FR,60.09309718
120181,FR,56.68979756
121951,FR,57.7205549
122291,FR,52.7343245
122720,FR,39.73325924
123373,FR,100
125201,FR,38.93928821
127232,FR,44.91091042
127571,FR,57.93848712
128114,FR,65.6885349
128142,FR,69.23076923
128535,FR,54.01902996
136773,FR,67.46283957
138172,FR,65.65795507
138595,FR,50.16066937
138715,FR,63.44470744
140082,FR,56.44416044
140521,FR,76.14850427
142082,FR,52.00122524
142371,FR,67.11321122
142752,FR,51.75388154
142995,FR,47.28634031
144230,FR,59.29279862
146576,FR,59.19790759
148227,FR,51.85741017
148321,FR,59.40615998
150801,FR,61.83533448
152882,FR,60.85538693
154488,FR,71.78571429
154813,FR,65.44829069
154921,FR,65.46987952
155711,FR,58.67048425
157011,FR,66.9008587
158801,FR,53.5971223
159923,FR,0
160410,FR,59.61162677
162844,FR,60.97416974
170435,FR,46.90994887
172043,FR,75.24472632
172104,FR,51.53744275
172662,FR,51.55075188
172741,FR,62.55358236
172860,FR,46.79342572
172914,FR,43.82419485
172961,FR,50.43852481
175923,FR,86.02381417
176722,FR,54.53414217
176873,FR,54.18765156
178423,FR,70.57814376
179902,FR,55.00848896
182282,FR,39.74358974
182931,FR,56.11068896
184053,FR,31.9585484
184364,FR,80.54607509
184581,FR,57.4549969
185116,FR,56.03690333
186232,FR,62.87744227
187191,FR,72.54178728
187441,FR,76.22363301
188681,FR,79.71952535
191372,FR,51.37888199
193373,FR,40.98540686
197622,FR,77.83018868
198721,FR,62.43739566
201524,FR,54.44061962
201632,FR,50.02965013
201821,FR,62.25791214
202085,FR,72.27240314
202214,FR,58.71497169
202562,FR,50.90504922
205001,FR,66.69217036
210701,FR,49.66233766
213462,FR,50.64629847
214541,FR,65.56178406
217372,FR,56.3764292
224532,FR,54.36408978
227031,FR,63.41591987
227982,FR,52.84669211
229261,FR,72.26617031
232586,FR,67.77368905
232943,FR,60.84663333
233722,FR,62.84631088
233742,FR,61.59459459
233941,FR,54.22322775
235561,FR,65.98870057
235831,FR,61.88186813
236833,FR,45.82733813
237945,FR,49.73053191
238021,FR,48.58490566
239121,FR,37.27776765
242422,FR,55.00282646
244496,FR,68.06160027
244715,FR,77.51824818
246432,FR,63.77952756
249942,FR,66.79389313
252134,FR,57.60309278
252991,FR,60.9758373
253313,FR,43.70668416
253442,FR,45.74635241
254781,FR,56.49471722
255911,FR,53.5173499
258652,FR,50.19305019
258732,FR,43.86227545
258952,FR,55.71428571
261581,FR,64.27015251
262622,FR,80.57885906
263372,FR,60.52749218
264151,FR,57.18631179
267243,FR,56.13612683
267433,FR,57.40576215
267481,FR,24.83870968
268122,FR,61.22984627
268583,FR,57.9492432
269255,FR,46.67807243
270673,FR,47.92618629
271071,FR,55.3923101
271162,FR,65.47314578
272101,FR,55.00424088
274272,FR,40.30075431
274732,FR,42.72729503
275205,FR,53.85757585
275273,FR,56.51750973
275751,FR,50.54783412
276221,FR,51.51121222
276351,FR,44.63208685
276712,FR,57.08018242
279662,FR,47.73687387
282092,FR,56.01684211
282411,FR,51.44508671
282651,FR,52.03065134
282999,FR,36.47982735
284694,FR,50.17896389
285966,FR,52.56352087
285975,FR,42.34740358
286912,FR,58.56626506
290093,FR,58.94586442
290975,FR,58.73531013
291822,FR,56.57797487
291891,FR,33.66903207
291964,FR,36.97735238
292231,FR,53.43734911
292374,FR,68.54852465
294314,FR,43.23693845
294861,FR,54.65547846
295254,FR,55.10711327
295493,FR,57.3800738
297122,FR,63.41961853
297601,FR,77.89457412
297962,FR,62.53602305
299122,FR,67.62114537
300171,FR,74.77679573
301624,FR,73.68573918
301781,FR,59.73672265
302453,FR,56.58159839
304442,FR,62.3461854
305031,FR,60.69442728
307692,FR,47.44721689
308231,FR,67.88807462
308361,FR,60.86956522
309443,FR,69.14553066
313704,FR,60.02581756
314413,FR,54.22443108
314823,FR,40.63523248
315332,FR,53.03128023
317384,FR,59.3619814
318661,FR,66.17739568
318711,FR,65.71564432
318981,FR,66.11009653
320532,FR,52.57397649
320561,FR,47.67255217
321135,FR,60.38473099
321912,FR,35.38757046
322592,FR,65.86931155
323812,FR,45.55335968
323840,FR,47.83436459
324302,FR,78.52140078
329162,FR,73.35526316
329501,FR,38.23288129
333600,FR,40.70138305
334921,FR,65.50400534
335711,FR,55.9465624
338172,FR,55.37759433
338590,FR,48.45116279
338953,FR,70.27404922
339311,FR,36.28673197
339491,FR,49.26916221
339851,FR,43.91186703
342332,FR,69.84785615
344002,FR,75.25833043
347162,FR,53.90745269
348315,FR,40.74212876
348442,FR,75.95527573
350023,FR,69.58791209
350390,FR,72.18638998
352223,FR,66.98737222
353161,FR,43.64106649
355993,FR,67.79661017
356871,FR,66.83568075
362034,FR,40.67061144
362651,FR,66.93548387
363131,FR,73.92739274
364945,FR,64.92718447
365434,FR,63.53648967
365721,FR,58.260034
367911,FR,50.61107938
371581,FR,57.25604252
372146,FR,54.05117271
372181,FR,56.10852197
372341,FR,68.6755431
373722,FR,55.88302144
376531,FR,46.98188638
377271,FR,58.60885192
379013,FR,51.77615572
379403,FR,70.67958399
381941,FR,63.31352575
383245,FR,56.20036652
383585,FR,70.71851442
383961,FR,80.36191494
385401,FR,77.20337462
