numCommune;annee;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbCinemasArtEssai;nbSeances;nbEntrees;recettes;population
13001;2009;4;16;2676;1;3;26556;968119;6764021.3;142668
13001;2010;4;16;2676;1;3;26769;989146;7220046.9;142668
13001;2011;4;16;2676;1;3;27522;983449;7304382.5;142668
13001;2012;4;16;2676;1;3;27415;947280;7065998.25;142668
13001;2013;4;16;2676;1;3;27208;893172;6733650.6;142668
13001;2014;4;16;2676;1;3;27523;902064;6649971.65;142668
13001;2015;4;16;2676;1;3;27864;846507;6299960.1;142668
13001;2016;4;16;2676;1;3;27400;891440;6604356.21;142668
13001;2017;4;16;2676;1;3;27397;847157;6332571.29;142668
13001;2018;4;16;2676;1;3;27409;834431;6142110.61;142668
13001;2019;4;16;2676;1;3;27018;866526;6429026.43;142668
13001;2020;4;16;2573;1;3;13573;274895;1988756.83;142668
2A004;1960;;4;2855;;;;647141;183888.4256;33642
2A004;1961;;4;2855;;;;600671;181586.4455;33642
2A004;1962;;4;2855;;;;555890;192124.7887;33642
2A004;1963;;4;2855;;;;492422;192215.6483;33642
2A004;1964;;4;2855;;;;461209;194760.4797;33642
2A004;1965;;4;2855;;;;476115;209085809;33642
2A004;1966;;4;2855;;;;437614;192661.7141;43438
2A004;1967;;4;2855;;;;370541;177146.2154;43438
2A004;1968;;4;2905;;;;349945;174132.7557;43438
2A004;1969;;4;2905;;;;308188;194262.4288;43438
2A004;1970;;4;2915;;;;285655;208735.4811;43438
2A004;1971;;4;2915;;;;264414;207652.1784;49065
2A004;1972;;4;2915;;;;273930;221921254;49065
2A004;1973;;3;2220;;;;262594;242644.8685;49065
2A004;1974;;3;2220;;;;256604;279442.4025;49065
2A004;1975;;3;2220;;;;256444;317823.4244;49065
2A004;1976;;3;2220;;;;247751;355966.1685;49065
2A004;1977;;3;2220;;;;247072;381450.7658;49065
2A004;1978;;3;2220;;;;244862;438865.8098;54089
2A004;1979;;3;2220;;;;238876;487847.0692;54089
2A004;1980;;4;2329;;;;218078;508259.3829;54089
2A004;1981;;4;2329;;;;236927;610333.2993;54089
2A004;1982;;4;2329;;;;255002;736182.8595;54089
2A004;1983;;4;2329;;;;233546;724507.2467;54089
2A004;1984;;4;2329;;;;197495;695747.5871;54089
2A004;1985;;4;2329;;;;174577;683921.2022;54089
2A004;1986;;4;2329;;;;166373;709414.3076;58949
2A004;1987;;4;2329;;;;124465;603201.4827;58949
