nomTypeFilm,numCinema,nombre
Programmes,396961,57
Programmes,399686,119
Programmes,399689,94
Programmes,399721,127
Programmes,403400,82
Programmes,405772,175
Programmes,407871,182
Programmes,408323,219
Programmes,409142,21
Programmes,409903,84
Programmes,411244,20
Programmes,412532,60
Programmes,414162,175
Programmes,418633,58
Programmes,418992,114
Programmes,419082,138
Programmes,420443,157
Programmes,421441,111
Programmes,421911,125
Programmes,421923,113
Programmes,422871,125
Programmes,423383,69
Programmes,423561,106
Programmes,423865,177
Programmes,424194,214
Programmes,424465,127
Programmes,426533,59
Programmes,427442,21
Programmes,427703,62
Programmes,429814,159
Programmes,430222,151
Programmes,430771,93
Programmes,431351,88
Programmes,431771,157
Programmes,433570,171
Programmes,434402,74
Programmes,436453,266
Programmes,437012,175
Programmes,437401,108
Programmes,437630,28
Programmes,438001,143
Programmes,439271,55
Programmes,439721,128
Programmes,439901,124
Programmes,439941,192
Programmes,441861,190
Programmes,444091,83
Programmes,446494,119
Programmes,446901,111
Programmes,450171,96
Programmes,452571,171
Programmes,454671,142
Programmes,455071,93
Programmes,457562,69
Programmes,457861,33
Programmes,460135,20
Programmes,462321,147
Programmes,463643,130
Programmes,464706,118
Programmes,468741,71
Programmes,576000,249
Programmes,700000,166
Programmes,702550,106
Programmes,703700,74
Programmes,704450,3
Programmes,720450,146
Programmes,720600,122
Programmes,720750,142
Programmes,720850,263
Programmes,721000,251
Programmes,721450,200
Programmes,722040,126
Programmes,722200,63
Programmes,722241,204
Programmes,723960,185
Programmes,724760,97
Programmes,724800,98
Programmes,12,79
Programmes,54,99
Programmes,311,246
Programmes,612,95
Programmes,741,157
Programmes,814,110
Programmes,1031,108
Programmes,2982,74
Programmes,4731,127
Programmes,6212,96
Programmes,6611,264
Programmes,7491,215
Programmes,8361,33
Programmes,8425,356
Programmes,8513,177
Programmes,8621,94
Programmes,9802,40
Programmes,9920,224
Programmes,10192,119
Programmes,10552,36
Programmes,12612,72
Programmes,13161,32
Programmes,13513,153
Programmes,13622,138
Programmes,13683,16
Programmes,13685,10
Programmes,14033,98
Programmes,14222,73
Programmes,15792,52
Programmes,16573,98
Programmes,17545,186
Programmes,18291,161
Programmes,18861,255
Programmes,18866,228
Programmes,20311,48
Programmes,21532,142
Programmes,22636,98
Programmes,23392,170
Programmes,23513,97
Programmes,24246,121
Programmes,26132,144
Programmes,27834,78
Programmes,28462,202
Programmes,31236,191
Programmes,31331,4
Programmes,33791,248
Programmes,35861,136
Programmes,36122,63
Programmes,36282,34
Programmes,40293,83
Programmes,41134,129
Programmes,42717,166
Programmes,44502,149
Programmes,45471,89
Programmes,47950,83
Programmes,48241,97
Programmes,52174,147
Programmes,52619,59
Programmes,53461,84
Programmes,57221,102
Programmes,57821,161
Programmes,58143,166
Programmes,59211,83
Programmes,62121,59
Programmes,66714,56
Programmes,66835,81
Programmes,67021,11
Programmes,68025,122
Programmes,68114,64
Programmes,69231,59
Programmes,71901,57
Programmes,73098,2
Programmes,74662,153
Programmes,76821,163
Programmes,78542,166
Programmes,81101,158
Programmes,81451,208
Programmes,82604,71
Programmes,83601,80
Programmes,84441,49
Programmes,84712,128
Programmes,85851,93
Programmes,87772,205
Programmes,89481,109
Programmes,90345,27
Programmes,90763,119
Programmes,90932,152
Programmes,91033,12
Programmes,92302,24
Programmes,93261,136
Programmes,94711,39
Programmes,95413,167
Programmes,95562,118
Programmes,95732,118
Programmes,97431,160
Programmes,103985,156
Programmes,104391,117
Programmes,104824,139
Programmes,106262,65
Programmes,106291,48
Programmes,108298,30
Programmes,108774,120
Programmes,109836,154
Programmes,110351,194
Programmes,111621,139
Programmes,112825,174
Programmes,114564,160
Programmes,114621,119
Programmes,114664,120
Programmes,115562,62
Programmes,117742,176
Programmes,118495,151
Programmes,119181,188
Programmes,120241,81
Programmes,120434,15
Programmes,121792,41
Programmes,122525,50
Programmes,125513,105
Programmes,127821,154
Programmes,128421,164
Programmes,129441,163
Programmes,130653,96
Programmes,133212,184
Programmes,133381,60
Programmes,136753,141
Programmes,136912,66
Programmes,138462,40
Programmes,139232,98
Programmes,140713,124
Programmes,141031,46
Programmes,142522,49
Programmes,144981,195
Programmes,146371,172
Programmes,146393,200
Programmes,146931,81
Programmes,147084,49
Programmes,147521,95
Programmes,148024,56
Programmes,148811,132
Programmes,153083,161
Programmes,155414,129
Programmes,157231,195
Programmes,159364,139
Programmes,162212,86
Programmes,162213,74
Programmes,164022,118
Programmes,164831,140
Programmes,167035,90
Programmes,168942,100
Programmes,171242,176
Programmes,172682,82
Programmes,172743,42
Programmes,173332,77
Programmes,173432,140
Programmes,179852,149
Programmes,181262,213
Programmes,181553,4
Programmes,183301,220
Programmes,184852,123
Programmes,185023,148
Programmes,185044,102
Programmes,187022,147
Programmes,187201,180
Programmes,187365,125
Programmes,187515,158
Programmes,188341,96
Programmes,188762,67
Programmes,189830,114
Programmes,190194,80
Programmes,192631,58
Programmes,193591,143
Programmes,195021,112
Programmes,196901,151
